,year,State_Abbr,O3_Units_min,O3_Mean_min,O3_Units_max,O3_Mean_max,O3_Mean
120,2015,WY,Parts per million,0.016,Parts per million,0.057708,0.03661506220984217
121,2016,AL,Parts per million,0.010708,Parts per million,0.044208,0.02834774496644295
122,2016,AR,Parts per million,0.010958,Parts per million,0.040625,0.02600959340659342
123,2016,AZ,Parts per million,0.006708,Parts per million,0.042053,0.022137347058823514
124,2016,CA,Parts per million,0.0017059999999999998,Parts per million,0.055125,0.02531064244186051
125,2016,CO,Parts per million,0.0,Parts per million,0.041833,0.02098914126394052
126,2016,DC,Parts per million,0.013083,Parts per million,0.047792,0.0310571551724138
127,2016,DE,Parts per million,0.002542,Parts per million,0.041792,0.025158940476190484
128,2016,FL,Parts per million,0.012583,Parts per million,0.041208,0.029212923076923074
129,2016,GA,Parts per million,0.002,Parts per million,0.035875,0.01977038095238095
130,2016,IA,Parts per million,0.010375,Parts per million,0.049083,0.03060908241758249
131,2016,IL,Parts per million,0.00275,Parts per million,0.040375,0.02501432960893853
132,2016,IN,Parts per million,0.00975,Parts per million,0.047042,0.026542319587628867
133,2016,KS,Parts per million,0.008042,Parts per million,0.045083,0.02283981818181818
134,2016,LA,Parts per million,0.007792,Parts per million,0.044042000000000005,0.02684649122807018
135,2016,MA,Parts per million,0.003542,Parts per million,0.045737,0.023563384615384618
136,2016,MD,Parts per million,0.001917,Parts per million,0.053542,0.027408578358208945
137,2016,ME,Parts per million,0.008167,Parts per million,0.043375,0.028196734265734266
138,2016,MO,Parts per million,0.004542,Parts per million,0.037708,0.023045714285714274
139,2016,NC,Parts per million,0.006667,Parts per million,0.056083,0.02933503829787235
140,2016,ND,Parts per million,0.015416999999999997,Parts per million,0.034375,0.02586769230769233
141,2016,NH,Parts per million,0.015792,Parts per million,0.043417,0.031650966101694905
142,2016,NV,Parts per million,0.000389,Parts per million,0.046292,0.022641166666666674
143,2016,NY,Parts per million,0.000667,Parts per million,0.042208,0.023971518828451898
144,2016,OH,Parts per million,0.004958,Parts per million,0.049208,0.025508180555555555
145,2016,OK,Parts per million,0.009458,Parts per million,0.047333,0.025687794520547924
146,2016,PA,Parts per million,0.0029170000000000003,Parts per million,0.05325,0.027862862275449114
147,2016,RI,Parts per million,0.005582999999999999,Parts per million,0.049,0.03233368595041322
148,2016,SC,Parts per million,0.009458,Parts per million,0.042375,0.029760551724137937
149,2016,TN,Parts per million,0.021167,Parts per million,0.053708000000000006,0.03796459006211179
150,2016,TX,Parts per million,0.004375,Parts per million,0.047792,0.026514834285714304
151,2016,UT,Parts per million,0.004292,Parts per million,0.027333,0.013307619047619047
152,2016,VA,Parts per million,0.007542,Parts per million,0.035083,0.022907899999999995
153,2016,WA,Parts per million,0.001958,Parts per million,0.028042,0.015436466666666664
154,2016,WY,Parts per million,0.025125,Parts per million,0.046958,0.039148511111111145
